City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
124,xining,36.6167,101.7667,270.58,21,4,1.87,CN,1674367116
125,mercedes,-34.6515,-59.4307,294.28,54,1,1.86,AR,1674367163
126,la baule-escoublac,47.2922,-2.364,270.96,94,0,2.57,FR,1674367163
127,chintamani,13.4,78.0667,295.34,27,9,4.45,IN,1674367163
128,bilibino,68.0546,166.4372,233.16,97,33,1.79,RU,1674367163
129,clyde river,70.4692,-68.5914,242.28,69,100,5.66,CA,1674367164
130,kasongo-lunda,-6.4667,16.8167,294.37,94,99,0.13,CD,1674367164
131,elbistan,38.2059,37.1983,277.03,58,0,0.08,TR,1674367164
132,port alfred,-33.5906,26.891,295.47,95,100,1.34,ZA,1674367164
133,talas,38.6908,35.5538,268.52,86,0,1.03,TR,1674367164
134,moindou,-21.6924,165.677,301.6,74,90,4.51,NC,1674367164
135,ocampo,21.65,-101.5,283.39,46,0,3.34,MX,1674367165
136,korla,41.7597,86.1469,265.42,57,2,4.13,CN,1674367165
137,buraydah,26.326,43.975,287.4,46,75,2.94,SA,1674367165
138,hobart,-42.8794,147.3294,293.85,75,40,6.69,AU,1674367165
139,butaritari,3.0707,172.7902,300.44,77,97,6.85,KI,1674367165
140,lompoc,34.6391,-120.4579,281.81,85,1,2.38,US,1674367166
141,norman wells,65.282,-126.8329,254.17,78,100,2.57,CA,1674367166
142,mecca,21.4267,39.8261,296.64,66,0,0.95,SA,1674367140
143,alofi,-19.0595,-169.9187,302.09,74,15,4.63,NU,1674367166
144,minab,27.1467,57.0801,291.14,22,0,5.56,IR,1674367166
145,bengkulu,-3.8004,102.2655,301.12,73,78,3.46,ID,1674366905
146,bawku,11.0616,-0.2417,296.71,21,34,2.44,GH,1674367166
147,saint-georges,12.0564,-61.7485,298.97,73,20,10.8,GD,1674367167
148,mengcheng,33.2579,116.5655,281.41,64,84,1.72,CN,1674367167
149,ivanivka,46.7208,34.553,273.21,94,0,3.81,UA,1674367167
150,exeter,50.7236,-3.5275,277.57,90,100,2.13,GB,1674367167
151,ambulu,-8.345,113.6058,302.93,66,46,4.16,ID,1674367167
152,longyearbyen,78.2186,15.6401,273.06,74,75,10.8,SJ,1674367168
153,geraldton,-28.7667,114.6,299.38,61,17,7.2,AU,1674367168
154,erdenet,49.0333,104.0833,245.43,80,100,1.14,MN,1674367168
155,nabire,-3.3667,135.4833,302.49,67,80,2.97,ID,1674367168
156,birao,10.2849,22.7882,293.88,22,69,3.27,CF,1674367168
157,east london,-33.0153,27.9116,297.67,88,75,4.63,ZA,1674367168
158,chumikan,54.7183,135.315,245.94,81,23,8.11,RU,1674367169
159,jasper,37.2001,-94.3502,276.18,89,100,1.54,US,1674367169
160,odweyne,9.4092,45.064,294.01,39,64,0.13,SO,1674367169
161,tasiilaq,65.6145,-37.6368,254.35,32,10,17.48,GL,1674367169
162,tura,25.5198,90.2201,297.42,26,0,2.18,IN,1674367169
163,kirakira,-10.4544,161.9205,301.76,76,100,1.38,SB,1674367169
164,anadyr,64.75,177.4833,244.43,75,0,4.0,RU,1674367169
165,tshikapa,-6.4167,20.8,294.15,94,98,0.88,CD,1674367170
166,ust-koksa,50.2696,85.6108,250.48,87,51,0.76,RU,1674367170
167,te anau,-45.4167,167.7167,290.47,53,61,1.78,NZ,1674367170
168,nantucket,41.2835,-70.0995,273.23,78,35,1.63,US,1674367170
169,kathmandu,27.7167,85.3167,289.27,39,20,1.54,NP,1674367088
170,cabo san lucas,22.8909,-109.9124,288.49,64,0,2.08,MX,1674367170
171,russell,32.3502,-85.1999,281.59,89,100,4.02,US,1674367171
172,dikson,73.5069,80.5464,255.34,94,100,11.41,RU,1674367171
173,iralaya,15.0,-83.2333,297.61,82,11,5.64,HN,1674367171
174,soyo,-6.1349,12.3689,298.66,86,100,1.59,AO,1674367171
175,barrow,71.2906,-156.7887,256.16,85,100,9.26,US,1674367172
176,iskateley,67.6803,53.1512,269.64,94,99,5.97,RU,1674367172
177,duluth,46.7833,-92.1066,267.97,86,100,3.09,US,1674367172
178,codrington,-38.2667,141.9667,292.63,64,4,6.87,AU,1674367172
179,tambura,5.6,27.4667,298.35,23,90,1.67,SS,1674367172
180,kokhma,56.9349,41.0915,260.2,98,100,1.62,RU,1674367173
181,port lincoln,-34.7333,135.8667,294.35,60,3,5.8,AU,1674367173
182,la romana,18.4273,-68.9728,294.37,89,5,3.85,DO,1674367173
183,ozuluama,21.6667,-97.85,292.7,97,5,1.83,MX,1674367173
184,georgetown,5.4112,100.3354,303.14,74,40,2.06,MY,1674367063
185,castro,-24.7911,-50.0119,290.58,91,84,1.04,BR,1674367165
186,victoria,22.2855,114.1577,295.9,76,90,3.58,HK,1674367076
187,souillac,-20.5167,57.5167,300.36,83,40,4.63,MU,1674367174
188,walvis bay,-22.9575,14.5053,291.36,86,77,1.73,NA,1674367174
189,kitob,39.0843,66.8332,271.92,74,85,1.29,UZ,1674367174
190,palmer,42.1584,-72.3287,272.87,74,49,0.82,US,1674367174
191,riyadh,24.6877,46.7219,284.23,42,31,5.38,SA,1674367174
192,palauig,15.435,119.9045,302.36,62,77,3.43,PH,1674367174
193,dingle,10.9995,122.6711,300.53,77,83,6.24,PH,1674367175
194,kahta,37.7855,38.6237,276.8,57,0,0.64,TR,1674367175
195,nyrob,60.733,56.7202,268.76,97,100,2.31,RU,1674367175
196,bandarbeyla,9.4942,50.8122,298.15,64,57,9.05,SO,1674367175
197,nhulunbuy,-12.2333,136.7667,301.49,83,75,5.14,AU,1674367176
198,aswan,24.0934,32.907,284.76,40,0,3.6,EG,1674367176
199,hurghada,27.2574,33.8129,287.17,54,0,5.66,EG,1674367176
200,cidreira,-30.1811,-50.2056,295.36,89,61,2.02,BR,1674367177
201,los llanos de aridane,28.6585,-17.9182,288.77,77,75,4.63,ES,1674367177
202,tautira,-17.7333,-149.15,298.77,73,100,1.33,PF,1674367177
203,tuatapere,-46.1333,167.6833,286.38,81,85,4.06,NZ,1674367177
204,oktyabrskoye,43.0645,44.7417,269.23,93,100,0.0,RU,1674367178
205,tilichiki,60.4667,166.1,245.05,97,100,8.04,RU,1674367178
